DISTRICT,LATITUDE,LONGITUDE,VENUE,VENUE LATITUDE,VENUE LONGITUDE,VENUE CATEGORY
CARABANCHEL,40.37521470000001,-3.7448761,Casa Botías,40.37262184074482,-3.7419444142508103,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Toga,40.41111841899132,-3.70667299456038,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,El Imparcial,40.411928907144485,-3.7057817062423974,Bistro
CENTRO,40.4115165,-3.7076445,Matritum,40.412177606420805,-3.709223228765578,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,La Perejila,40.41238644200305,-3.709265060780486,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Mad Café,40.41237079206074,-3.708825691824009,American Restaurant
CENTRO,40.4115165,-3.7076445,Casa Lucas,40.412314855210234,-3.7094367228292757,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Astór Gastrobar,40.41273,-3.709617,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Casa Lucio,40.412072753,-3.709700554,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,MartinaCocina,40.41000076757413,-3.7072936379830908,Café
CENTRO,40.4115165,-3.7076445,La Encomienda,40.410671971184456,-3.7059818747088813,Vegetarian / Vegan Restaurant
CENTRO,40.4115165,-3.7076445,Posada de la Villa,40.413085497,-3.708450842,Restaurant
CENTRO,40.4115165,-3.7076445,pura vida vegan bar,40.41020847303393,-3.709029348112721,Vegetarian / Vegan Restaurant
CENTRO,40.4115165,-3.7076445,El Brote,40.4106369154344,-3.7083685398101807,Restaurant
CENTRO,40.4115165,-3.7076445,CUBIERTOS DE GLORIA,40.413581417920476,-3.7075112908086507,Comfort Food Restaurant
CENTRO,40.4115165,-3.7076445,Oliveros,40.411444825,-3.70760475,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Nina Pasta Bar,40.409508,-3.7088363,Italian Restaurant
CENTRO,40.4115165,-3.7076445,La Barca del Patio,40.41056,-3.707405,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Taberna La Concha,40.41328553264532,-3.7083632649818323,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Café Pavón,40.41015211180619,-3.7063668093387503,Breakfast Spot
CENTRO,40.4115165,-3.7076445,Taberna del Capitán Alatriste,40.41262258,-3.708385061,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Mar&Ola,40.412110647922,-3.7106201645978993,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Taberna de Lucio,40.41229848790274,-3.7094832512315294,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,La Antoñita,40.4130849147541,-3.7085505691060217,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,PAN adoré,40.4108519585213,-3.707412128353858,Bistro
CENTRO,40.4115165,-3.7076445,Boconó Specialty Coffee,40.410585280387586,-3.706855521898219,Café
CENTRO,40.4115165,-3.7076445,Txirimiri,40.4111523934205,-3.710426686180131,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Casa Victor,40.412429001191434,-3.7091671270452693,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Al Settimo Cielo,40.41050892900634,-3.7103206370563853,Pizza Place
CENTRO,40.4115165,-3.7076445,Panishop,40.41156829106838,-3.7071876588384147,Bakery
CENTRO,40.4115165,-3.7076445,Restaurante Posada del Dragón,40.41307951749643,-3.7085208409364583,Restaurant
CENTRO,40.4115165,-3.7076445,Pez Tortilla,40.411781658448255,-3.7105174528339666,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Casa Curro Taberna,40.412426160447765,-3.709206768870448,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,La Minoterie,40.410524,-3.706303,Creperie
CENTRO,40.4115165,-3.7076445,Taberna Txakolina,40.41240423456137,-3.7092335872572075,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Metro Bistro,40.41455661526512,-3.706830885266474,Bistro
CENTRO,40.4115165,-3.7076445,Juana la Loca Pintxos-Bar,40.41134,-3.711101,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Taberna Tempranillo,40.411982539289724,-3.710063750704225,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Sahuaro,40.41108639348676,-3.7072020194931703,Mexican Restaurant
CENTRO,40.4115165,-3.7076445,PinUp Beer's Burguer,40.4119581187938,-3.7101178559535106,Burger Joint
CENTRO,40.4115165,-3.7076445,Casa Revuelta,40.4138315511733,-3.7080649861662147,Spanish Restaurant
